_id,Customer ID,First Name,Last Name,Email,Phone Number,Registration Date,Age,Gender,Location.Street,Location.City,Location.State,Location.Postal Code,Location.Country,Purchase Frequency,Average Order Value,Recency of Purchase,Average Items per Order,Loyalty Program Membership,Online Shopping,Open Rate of Emails,Click-Through Rate,Total Spending,Repeat Purchases,Social Media Engagement,Customer Feedback
64ea5e09fe4f979a95e9ce9f,8de655c5-ba63-43c6-9225-780d50c766dd,Danielle,Mclaughlin,leshane@example.org,(757)545-8922x0428,2021-10-16,69,Female,2672 Lisa Grove Suite 206,Lake Joannemouth,NY,94151,Timor-Leste,15,24.14,310,7,false,false,0.04,0.19,1281.97,6,0.02,1.44
64ea5e09fe4f979a95e9cea0,63dee128-183e-42ea-91d8-cd6b4c9f69bb,Daniel,White,james67@example.net,+1-660-651-7360,2020-08-17,35,Male,76048 Jessica Groves,North Vanessafort,AZ,89239,Netherlands,16,89.44,38,9,false,false,0.9,0.02,1739.01,2,0.58,4.98
64ea5e09fe4f979a95e9cea1,1c05b319-084a-4101-93be-3c2a38fa382c,James,Fritz,hensleyjeremy@example.net,369.320.0365,2020-10-21,49,Other,4413 Briana Stream,Peterport,PA,89217,Kuwait,8,109.53,349,5,false,true,0.2,0.97,1521.95,1,0.64,4.3
64ea5e09fe4f979a95e9cea2,b886a371-8105-47b3-8136-7fed77ced2e2,David,Montgomery,katelyn17@example.org,001-322-790-9939,2020-08-03,52,Female,108 Castro Brook,East Sherry,UT,45922,Czech Republic,17,78.67,105,8,false,false,0.66,0.75,1496.58,3,0.65,4.25
64ea5e09fe4f979a95e9cea3,c45edbd7-51ac-4947-b288-e8ae9eb4b3e4,Kaitlyn,Mayo,deannawheeler@example.net,363-945-7392x5987,2020-04-02,64,Other,7901 Campbell Row Suite 086,Jacksonfort,MD,36147,Western Sahara,36,33.56,338,3,false,false,0.16,0.87,1933.97,7,0.4,3.41
64ea5e09fe4f979a95e9cea4,82f5603b-8f44-46a1-b796-932ae2eb7c5e,Diane,Mendoza,ann07@example.net,+1-581-465-0375x633,2021-10-30,18,Male,737 Nicole Ways Apt. 569,Lake Ashleystad,WA,85001,Uruguay,35,188.26,147,4,false,false,0.84,0.93,1768.78,5,0.34,1.2
64ea5e09fe4f979a95e9cea5,8e15e8f3-2d25-4d43-9be7-aff14f6697ff,Julia,Fischer,daniel58@example.org,419.249.0132x6783,2022-12-06,47,Other,7685 Jennifer Views,New Michelle,KY,28239,Turkmenistan,5,14.67,205,5,true,true,0.53,0.83,275.41,2,0.93,2.02
64ea5e09fe4f979a95e9cea6,b20ad685-b397-4236-b3f9-98a6d9537d35,Jennifer,Lawson,jennifer48@example.org,(454)385-1713,2022-11-12,30,Female,6002 Suzanne Ways Apt. 559,North Deniseburgh,WI,41121,Russian Federation,27,164.83,144,2,true,true,0.96,0.55,245.24,9,0.01,0.75
64ea5e09fe4f979a95e9cea7,bfbbb1c6-bc61-44e3-83c6-6098dfc78bb4,Tammy,Turner,david71@example.com,602.653.0019x866,2022-11-27,63,Female,7984 Elizabeth Point,West Kelly,AL,04236,Jordan,4,114.61,124,2,true,false,0.73,0.95,1153.48,10,0.11,4.01
64ea5e09fe4f979a95e9cea8,2b44ee91-90ef-4578-8ea5-8292db7b7539,Daniel,Palmer,laurascott@example.com,574.425.7527x28906,2021-12-24,63,Male,3719 Kyle Spring,Davisshire,NC,84061,Dominica,25,185.44,86,3,false,true,0.85,0.52,810.87,5,0.63,3.15
