_id,Order ID,Customer ID,Order Date,Total Amount,Payment Method,Shipping Address.Street,Shipping Address.City,Shipping Address.State,Shipping Address.Postal Code,Shipping Address.Country,Order Status
64ea5e09fe4f979a95e9d863,6c4b937d-5a0d-4d64-9977-46a8d0ccd514,a2454953-7f13-42f9-9e89-7ae4001cc193,2021-07-30T07:59:08.000Z,807.18,Credit Card,913 Khan Prairie Apt. 350,Craigchester,KS,53337,Cambodia,Delivered
64ea5e09fe4f979a95e9d864,a3b4db15-9cf3-4684-82a8-56b88ff2d953,bca01252-2694-4dc5-926e-887b210afef3,2020-08-09T18:56:23.000Z,302.09,COD,979 Brian Well,North Sarahtown,NM,30618,Vietnam,Shipped
64ea5e09fe4f979a95e9d865,64cacffa-1409-4aa7-8aba-66451c907e66,7f9a6c7e-3f79-4e62-bde5-16e5c6572005,2021-12-01T14:08:17.000Z,163.97,Credit Card,67094 Gregory Squares Apt. 252,South Royshire,MS,42018,Uruguay,Delivered
64ea5e09fe4f979a95e9d866,13e6bd16-a418-4e6e-8886-3eaaf227e676,475daea5-a6a4-4f4e-9d47-6c89a9187edd,2020-03-29T18:07:28.000Z,354.27,PayPal,02767 Carlos Road Suite 174,Danielfurt,LA,66351,San Marino,Shipped
64ea5e09fe4f979a95e9d867,aa973c20-b1b7-4282-9502-a87dd7eb7390,156db2a7-3606-4f2a-ac72-2e41d41bb7ab,2020-03-03T02:41:37.000Z,537.71,COD,354 Michelle Square Apt. 634,Lake Caseyton,KY,17029,Nigeria,Shipped
64ea5e09fe4f979a95e9d868,0776ad4f-6d83-4aed-9ea9-4764fe6d4232,eac5a025-8bf9-44c2-a3ba-5251e43467b1,2020-10-06T14:48:53.000Z,877.03,PayPal,548 Leonard Junction,Amandaside,NV,28721,Tajikistan,Shipped
64ea5e09fe4f979a95e9d869,9592360c-96b0-41ab-b3f3-d3c7f7af22b1,b736529a-5a76-4b0a-8865-8381de28fe7f,2020-11-08T10:05:09.000Z,755.83,Credit Card,01033 Ashley Trail Suite 576,Jacobshaven,IN,24102,Serbia,Delivered
64ea5e09fe4f979a95e9d86a,b9dc1bef-b7c0-43d8-b840-abd5861f8e6a,1e4cbb0b-030c-48eb-8ea9-c013224940b2,2020-11-17T17:22:28.000Z,714.13,PayPal,0568 Smith Crossing,West Wesleychester,NJ,08127,Togo,Shipped
64ea5e09fe4f979a95e9d86b,37b523d4-591a-40a8-81d5-2b358600a61e,401c5775-1b96-4afd-b2f2-9f1809d641d0,2021-11-23T01:33:29.000Z,675.94,Credit Card,6000 Pamela Harbor,Hartmouth,CO,82946,Netherlands Antilles,Delivered
64ea5e09fe4f979a95e9d86c,154a8dfe-ab6a-4578-b9e3-0aa263cb2bfc,cbf024d7-1a13-4534-889e-997c125fb119,2020-02-19T00:26:14.000Z,855.09,COD,7747 Richard Way,Lake Barbarahaven,AL,89019,Albania,Pending
64ea5e09fe4f979a95e9d86d,9a262b63-50f2-4664-9705-a5d9020f60ce,07ead599-1dae-4724-b715-9abe53d059ce,2021-02-13T13:22:07.000Z,656.28,COD,469 Powers Points,Nunezburgh,MI,44541,Hungary,Shipped
64ea5e09fe4f979a95e9d86e,dc97dc79-8e10-418f-a383-34dd7a56eec8,731834e9-181e-4b8b-8f5d-f1071d4ad20d,2021-12-29T18:04:57.000Z,288.5,PayPal,038 James Green Apt. 539,North Williamchester,NC,28442,Mayotte,Shipped
64ea5e09fe4f979a95e9d86f,a61b06e5-2fde-47f4-8ea6-8607695fcc5a,c69461fa-91a1-480e-9031-a88182929ba3,2020-08-04T11:22:12.000Z,346.66,Credit Card,63471 Alvarez Lakes Apt. 992,Eatonmouth,VT,83475,Montserrat,Delivered
